"name","value"
"Qid","guest8"
"Question","Orientiert sich die Digitalisierung an den Bedürfnissen der Menschen?"
"Quotayes","62.5"
"Outlier","0"
"Outlierbounds1","20.0"
"Outlierbounds2","80.0"
,
"Trackid","Answer"
"track_4","1"
"track_5","0"
"track_6","0"
"track_7","0"
"track_8","0"
"track_9","0"
"track_10","1"
"track_11","1"
"track_12","0"
"track_13","1"
"track_14","1"
"track_15","1"
"track_16","1"
"track_17","1"
"track_18","0"
"track_19","1"
"track_20","1"
"track_21","1"
"track_22","1"
"track_23","1"
"track_24","1"
"track_25","0"
"track_26","1"
"track_27","0"
